text,score
배송이 빠르고 제품 상태가 좋아요,0.03
잘 받았습니다 감사합니다,0.03
포장이 꼼꼼하게 되어 있었어요,0.04
제품 품질이 좋네요 재구매 의사 있습니다,0.04
설명대로 제품이 잘 왔어요,0.05
친절한 응대 감사드립니다,0.03
가격 대비 품질이 좋습니다,0.05
배송 빠르고 제품도 만족스럽습니다,0.04
다음에도 구매할게요,0.03
생각보다 훨씬 좋네요,0.04
사진과 동일하고 만족합니다,0.05
선물용으로 구매했는데 좋아요,0.04
색상이 예쁘고 품질도 좋아요,0.05
문의에 빠른 답변 감사합니다,0.03
이 제품 어떻게 사용하나요,0.08
사이즈 교환 가능한가요,0.07
재고 언제 들어오나요,0.07
다른 색상도 있나요,0.07
배송 언제 오나요,0.08
영수증 다시 발행 가능한가요,0.08
어린이도 사용 가능한가요,0.07
A/S는 어디서 받나요,0.07
이 정도면 괜찮은 것 같아요,0.12
나쁘지 않아요,0.12
무난하게 쓸 수 있어요,0.10
친구에게도 추천했어요,0.05
재구매했습니다,0.04
항상 여기서 구매해요,0.04
믿고 살 수 있는 판매자입니다,0.05
후기 보고 구매했는데 만족해요,0.05
처음 구매인데 만족스러워요,0.05
합리적인 가격입니다,0.05
퀄리티 대비 가격이 좋아요,0.06
전체적으로 만족합니다,0.04
제품 잘 받았어요 감사합니다,0.03
할인 쿠폰 어디서 받나요,0.08
회원 가입 혜택이 있나요,0.07
적립금은 어떻게 사용하나요,0.08
무료배송 기준이 얼마인가요,0.08
주문 취소하고 싶어요,0.10
배송지 변경 가능한가요,0.08
선물 포장 서비스 있나요,0.07
성능이 기대 이상입니다,0.04
가볍고 사용하기 편해요,0.04
설치가 간편해요,0.05
고객센터 응대가 친절했어요,0.04
전반적으로 좋은 경험이었습니다,0.04
오래 기다린 보람이 있네요,0.05
두 번째 구매입니다,0.04
반품 절차가 어떻게 되나요,0.10
제품이 마음에 쏙 들어요,0.04
포장도 예쁘고 제품도 좋아요,0.04
빠른 배송에 감사드립니다,0.03
꼼꼼하게 포장해 주셨네요,0.04
상품 품질이 정말 좋아요,0.05
판매자분 친절하세요,0.03
재구매 의향 있어요,0.04
주변에 추천할게요,0.05
별다른 이상 없이 잘 왔어요,0.04
만족스러운 구매였어요,0.04
가성비 최고입니다,0.05
이 가격에 이 품질이면 대박이에요,0.05
기대보다 훨씬 좋네요,0.04
포장이 너무 예뻐요,0.04
빨리 왔어요 감사합니다,0.03
깔끔하게 잘 포장되어 있었어요,0.04
문의 드렸는데 빠르게 답변해 주셨어요,0.04
상품 상태 완벽합니다,0.04
설명서가 잘 되어 있어서 사용하기 편해요,0.05
예상보다 빨리 도착해서 좋았어요,0.04
사용해보니 정말 편리해요,0.05
디자인이 정말 예쁩니다,0.04
내구성이 좋아 보여요,0.05
오래 쓸 수 있을 것 같아요,0.05
배송이 생각보다 빨랐어요,0.04
상품 정보가 정확하게 표기되어 있어요,0.05
친절한 판매자분 감사합니다,0.03
포장이 완벽해서 제품 손상 없이 받았어요,0.04
색감이 사진이랑 똑같아요,0.05
선물용으로 완벽해요,0.04
재질이 생각보다 훨씬 좋아요,0.05
착용감이 편해요,0.05
사이즈가 딱 맞아요,0.05
고객 응대가 정말 친절해요,0.03
상품 퀄리티가 가격 대비 훌륭해요,0.05
이미 주변 친구들에게 추천했어요,0.05
사용법이 간단해서 좋아요,0.05
효과가 바로 나타나네요,0.05
기능이 다양해서 좋아요,0.05
조립이 쉬웠어요,0.05
무게가 가벼워서 들고 다니기 좋아요,0.04
소음이 적어서 좋아요,0.05
관리하기가 편해요,0.05
이 브랜드 처음인데 만족합니다,0.05
정품 맞고 상태도 완벽해요,0.05
친절한 설명 덕분에 잘 사용하고 있어요,0.04
다음에도 이 판매자한테 살게요,0.04
구성품이 모두 들어있었어요,0.05
주문한 색상 그대로 왔어요,0.05
재입고 알림 받고 바로 구매했어요,0.05
이벤트 상품도 챙겨주셔서 감사해요,0.04
제품 설명과 실제가 일치해요,0.05
교환 없이 첫 번째에 만족했어요,0.04
오랫동안 고민하다 샀는데 역시 좋네요,0.05
가격도 괜찮고 품질도 만족스러워요,0.05
처음엔 망설였는데 잘 샀어요,0.05
한 번 써보고 마음에 들어서 추가 구매했어요,0.05
어머니 선물로 샀는데 좋아하세요,0.04
남편 선물로 샀는데 잘 쓰고 있어요,0.04
아이가 좋아해서 다행이에요,0.04
처음 사용해봤는데 앞으로도 계속 쓸 것 같아요,0.05
기존에 쓰던 것보다 훨씬 좋아요,0.05
전반적으로 만족스럽습니다 또 구매할게요,0.04
광고 너무 많이 올리지 마세요,0.35
같은 내용을 반복해서 올리면 안 되죠,0.32
도배 그만해 주세요,0.40
계속 같은 글 올리는 거 좀 그렇네요,0.33
광고성 게시물 자제해 주세요,0.36
스팸 글 그만 올려요,0.38
배송이 너무 느려서 실망했어요,0.30
제품 품질이 사진과 다르네요,0.33
기대 이하입니다,0.30
환불받고 싶어요,0.28
제품이 설명과 달라요,0.34
조금 실망스러운 부분이 있어요,0.31
가격에 비해 품질이 아쉽습니다,0.32
다음엔 구매하지 않을 것 같아요,0.30
별로 추천하고 싶지 않아요,0.31
포장이 엉성해서 제품이 손상됐어요,0.38
교환 요청했는데 답변이 없어요,0.40
고객 서비스가 불만족스럽습니다,0.38
지금 특가 할인 중입니다 많이 구매하세요,0.42
저렴하게 구매할 수 있는 곳 알려드릴게요,0.44
부업으로 월 500만원 벌고 있어요,0.50
무료로 받을 수 있는 혜택 알려드립니다,0.46
제 블로그 방문해 주세요 좋은 정보 있어요,0.43
이 링크 클릭하면 선물 드려요,0.48
지금 가입하면 보너스 드립니다,0.47
한정 수량이니 서두르세요,0.42
특별 이벤트 참여하세요,0.40
무료 체험 신청하세요,0.42
같은 글 계속 올리면 안 되는 거 아닌가요,0.35
여기가 광고판인가요,0.36
홍보글 좀 그만요,0.38
자꾸 같은 내용 올리지 마세요,0.37
반복 게시 신고합니다,0.40
품질 관리가 안 되는 것 같아요,0.33
불량품을 보내시면 어떡해요,0.38
솔직히 실망이에요,0.30
돈이 아까운 것 같아요,0.32
다시는 이용 안 할 것 같아요,0.33
나쁜 경험이었어요,0.32
기대를 많이 했는데 아쉽네요,0.30
제품 교환해 주세요,0.28
배송 상태가 엉망이에요,0.40
광고 도배 심하네요,0.45
상품은 괜찮은데 배송이 너무 느려요,0.31
사진이랑 조금 다른 것 같아요,0.32
기대했던 것보다 조금 아쉽네요,0.30
품질이 생각보다 별로예요,0.33
가격 대비 조금 실망스러워요,0.32
포장이 허술해서 걱정됐어요,0.35
배송 중에 약간 손상된 것 같아요,0.37
색상이 사진과 다소 다르네요,0.33
재질이 조금 저렴해 보여요,0.32
기능이 좀 부족한 것 같아요,0.31
소음이 좀 있어요,0.30
냄새가 좀 나요,0.32
세탁 후 변형됐어요,0.38
쿠폰 이벤트 참여 방법을 알려드립니다,0.40
재택근무 가능한 일자리 알려드려요,0.48
투자 정보 공유 그룹 초대해드립니다,0.50
건강식품 특가 할인 행사 안내입니다,0.43
오늘만 이 가격 서두르세요,0.44
회원 모집 중입니다 혜택이 많아요,0.45
하루에 몇 번씩 광고를 올리시는 거예요,0.38
게시판이 광고로 도배됐네요,0.42
관리자님 광고글 삭제해 주세요,0.36
스팸성 글이 너무 많아요,0.40
이런 글은 규정에 맞지 않아요,0.35
커뮤니티 규정 좀 지켜주세요,0.35
환불이 너무 오래 걸려요,0.38
고객센터 연결이 안 돼요,0.37
이메일 답변이 없어요,0.35
교환 신청했는데 소식이 없어요,0.38
반품 처리가 너무 느려요,0.37
전화 연결이 계속 안 돼요,0.38
약속한 날짜에 배송이 안 왔어요,0.40
재고 있다고 해서 샀는데 품절이래요,0.42
이 정도 가격에 이런 품질이면 좀 그렇죠,0.33
다른 쇼핑몰이 더 나은 것 같아요,0.31
솔직히 별점 주기 애매해요,0.30
배송비가 너무 비싸요,0.32
적립금 정책이 좀 나아졌으면 해요,0.30
품질이 예전보다 떨어진 것 같아요,0.33
서비스가 이전보다 아쉬워요,0.32
리뷰가 과장된 것 같아요,0.35
인플루언서 추천만 믿었다가 후회해요,0.35
별점 조작이 의심돼요,0.42
가짜 리뷰가 많은 것 같아요,0.45
불만 리뷰는 삭제하는 건가요,0.43
SNS 광고 보고 샀는데 별로네요,0.33
협찬 리뷰만 있고 솔직한 리뷰는 없어요,0.38
이 제품 완전 사기네요,0.65
사기꾼들이네 진짜,0.70
완전 사기 제품 조심하세요,0.68
돈 뜯어가는 사기 업체입니다,0.72
이거 사기예요 조심하세요,0.67
완전 쓰레기 제품이네요,0.65
이런 쓰레기를 팔다니,0.64
쓰레기 같은 서비스네요,0.63
완전 쓰레기야 이 회사,0.67
제품이 쓰레기 수준이에요,0.63
최악의 쇼핑몰입니다,0.62
진짜 최악이에요,0.61
이렇게 최악인 곳은 처음이에요,0.63
완전 최악의 경험이었어요,0.64
최악 중의 최악이에요,0.66
이 업체 완전 사기꾼이에요,0.72
환불도 안 해주는 사기 업체,0.70
돈만 받고 잠수타는 사기꾼,0.73
이거 완전 가짜 제품 아닌가요,0.68
짝퉁 팔고 있는 거 맞죠,0.67
욕 나오네 진짜 이 회사,0.62
어이없어서 말이 안 나와요,0.60
정말 화가 나네요,0.61
이런 식으로 장사하면 안 되죠,0.62
소비자를 우롱하는 겁니까,0.65
이거 고소할 수 있지 않나요,0.68
소비자 보호원에 신고할게요,0.70
공정거래위원회에 신고합니다,0.70
모든 커뮤니티에 올릴게요,0.65
SNS에 다 퍼뜨릴 거예요,0.65
진짜 어이없는 회사네요,0.63
이딴 서비스가 어딨어요,0.63
황당하기 그지없네요,0.62
이런 판매자가 있다니 놀랍네요,0.61
신뢰할 수 없는 업체입니다,0.63
이 판매자 믿지 마세요,0.66
절대 구매하지 마세요 후회해요,0.65
사기성 광고 그만하세요,0.70
허위 광고로 신고합니다,0.72
이게 무슨 사기야,0.68
다시는 이딴 데서 안 사,0.62
진짜 열받게 하는 회사네요,0.63
이렇게 나쁜 회사는 없어요,0.65
정말 형편없는 서비스예요,0.63
어떻게 이런 제품을 팔 수가 있죠,0.65
소비자 무시하는 거 맞죠,0.67
이렇게 불량품을 보내고 나 몰라라 해요,0.68
환불 안 해주면 법적 조치 할게요,0.75
이거 완전 거짓 광고잖아요,0.72
사기당한 느낌이에요,0.68
이런 경험은 처음이에요 진짜 최악,0.70
이 회사 완전 사기꾼들이에요,0.73
사기 치는 업체 조심하세요,0.70
소비자 기만하는 쓰레기 회사,0.72
개사기 업체네요 신고해야겠어요,0.74
이딴 곳에서 물건 사지 마세요 사기예요,0.73
환불 거부하는 사기 회사입니다,0.74
가짜 제품 파는 사기꾼들,0.72
이 업체 완전 쓰레기예요 다들 조심하세요,0.73
사기당했어요 이 회사한테,0.70
이런 쓰레기 같은 회사가 있다니,0.68
진짜 열받아 죽겠네 이 회사 때문에,0.65
화가 너무 나서 글을 씁니다,0.62
어이가 없어서 미치겠어요,0.63
소비자 보호 기관에 신고할게요,0.70
방송국에 제보할 거예요,0.72
뉴스에 올려서 다 알릴 거예요,0.73
법적 대응 준비하고 있어요,0.75
집단 소송 준비 중입니다,0.77
이런 업체는 망해야 해요,0.65
어떻게 이런 식으로 장사를 해요,0.63
진짜 분통이 터집니다,0.63
소비자를 뭐로 보는 거예요,0.65
허위 광고로 신고하겠습니다,0.72
이거 완전 사기성 마케팅이잖아요,0.70
거짓 정보로 소비자 현혹하는 거예요,0.70
이 제품 가짜인 거 다 알아요,0.72
짝퉁 제품 팔면서 정품 행세를 해요,0.73
원산지 속여 파는 거 아닌가요,0.70
성분 표시가 실제와 다르잖아요,0.68
이 광고 완전 허위예요,0.70
고객을 협박하는 업체입니다,0.75
환불하겠다고 협박받았어요,0.75
나쁜 리뷰 쓰면 고소한다고 해요,0.76
소비자 권리를 침해하는 업체예요,0.72
진짜 욕 나오네 이 회사,0.63
어처구니가 없어요 진짜로,0.62
환불도 안 되고 교환도 안 되고 뭐야,0.68
고객센터 전화하면 욕부터 먹어요,0.72
직원이 반말로 응대해요,0.65
상담원이 전화를 끊어버렸어요,0.68
이런 고객 응대가 어딨어요,0.65
직원 교육이 전혀 안 된 회사예요,0.65
사기꾼 업체 고발합니다,0.75
이 회사 고소할 거예요,0.73
변호사 선임해서 소송 넣겠습니다,0.77
경찰에 사기죄로 고소할게요,0.76
이런 악덕 업체 뉴스에 제보했어요,0.73
SNS에 이 업체 실태 다 올릴 거예요,0.70
리뷰 사이트마다 다 올릴 거예요,0.68
커뮤니티마다 다 퍼뜨릴 거예요,0.68
이 사기꾼들 진짜 가만 안 두겠어,0.73
이딴 쓰레기 업체 어떻게 아직 운영 중이야,0.70
완전 사기 덩어리 이 회사,0.72
쓰레기 중에 쓰레기 업체네요,0.70
이런 사기 업체 세상에 없어야 해요,0.68
피해 금액이 상당해요 고소할게요,0.76
공동 대응으로 이 사기꾼들 혼내줍시다,0.73
언론에 제보해서 사회적 제재 받게 할 거예요,0.74
꺼져 이 쓰레기 같은 것들,0.90
다 죽어버려,0.95
진짜 죽이고 싶다,0.96
혐오스러운 인간들이네,0.88
이 인간들 다 혐오해,0.89
진짜 역겹고 혐오스럽다,0.88
꺼지라고 이 혐오스러운 것들,0.91
너네 다 사라져버려,0.87
사기꾼에 쓰레기야 꺼져,0.90
진짜 죽어도 싸다,0.92
너 같은 쓰레기는 필요 없어 꺼져,0.91
가만 안 둘 거야 찾아갈 거야,0.93
집 찾아가서 혼내줄게,0.92
어디 사는지 알아내고 말 거야,0.93
너 찾아갈 거야 진짜,0.92
쓰레기 새끼들 꺼져버려,0.93
혐오스러운 쓰레기들 다 사라져,0.91
진짜 개혐오 이것들,0.90
이 나쁜 놈들 다 잡아가야 해,0.88
범죄자들이야 이 사람들,0.87
이 쓰레기 같은 회사 꺼져버려 혐오스러워,0.92
위협할 거야 진심으로,0.94
다 망해버려 이 나쁜 놈들,0.88
이 혐오스러운 것들 꺼져,0.90
폭파시켜버리고 싶다,0.96
테러라도 해야겠다,0.97
없애버릴 거야 이 쓰레기들,0.92
진짜 총이라도 들고 싶다,0.97
불질러버리고 싶다,0.95
다 죽여버리고 싶어,0.96
꺼져 혐오스럽고 역겨워,0.91
이딴 것들은 사라져야 해,0.88
죽이겠다 진심이야,0.97
찾아가서 가만 안 둘 거야,0.93
이 새끼들 다 죽어야 해,0.95
너네 회사 박살낼 거야,0.93
집에 찾아간다 두고 봐,0.92
혐오 그 자체야 꺼져,0.90
이 인간들 없어져야 해,0.88
진짜 죽고 싶게 만드네 이 쓰레기들,0.94
꺼져 이 쓰레기야 혐오스러워,0.91
다 뒤져버려 진짜로,0.95
너희 다 죽어야 해,0.95
혐오하는 것들 다 없어져라,0.89
진짜 죽여버리고 싶어 이것들,0.96
이 것들 찾아가서 가만 안 둘 거야,0.93
너희 집 알아낼 거야 두고 봐,0.93
신상 털어서 다 공개할 거야,0.92
네 정보 다 알아낼 거야,0.92
찾아가서 직접 혼내줄 거야,0.93
이 혐오스러운 것들 꺼져,0.90
역겹고 혐오스럽다 없어져라,0.90
너희같은 쓰레기는 이 세상에 필요 없어,0.91
죽어라 진짜 제발,0.95
사라져버려 이 혐오스러운 것들,0.90
폭탄이라도 보내고 싶다,0.96
다 태워버리고 싶어,0.95
박살내버릴 거야,0.93
죽이겠다는 말이 나와,0.95
칼이라도 들고 싶다,0.96
위협하는 거야 알아들어,0.94
진심으로 해코지할 거야,0.93
이 개같은 것들 꺼져 혐오해,0.93
쓰레기 같은 것들 다 죽어,0.95
혐오스러운 인간들 다 뒤져,0.94
찾아가서 죽여버릴 거야,0.96
가만 안 두겠어 진짜로 찾아간다,0.93
네 집 앞에 나타날 거야,0.93
퇴근길 기다릴 거야,0.93
이것들 다 혐오하고 없애버리고 싶어,0.92
세상에서 사라져야 할 것들이야,0.89
이 인간들 존재 자체가 혐오야,0.90
폭력을 써서라도 해결하겠어,0.94
물리적으로 응징할 거야,0.93
직접 찾아가서 확실히 해결하겠어,0.93
다 죽이고 싶다 진짜로,0.96
없애버리고 싶어 이 세상에서,0.93
이 세상에서 지워버리겠어,0.92
디자인이 깔끔해서 어디에나 잘 어울려요,0.05
사용 방법이 직관적이에요,0.05
포장재를 재활용할 수 있어서 좋아요,0.04
주문하고 나서 빠른 발송 감사합니다,0.03
혹시 몰라 리뷰 남겨요 너무 좋아요,0.04
여러 개 묶음으로 사면 더 저렴하네요,0.05
사용 후기 남기러 왔어요 만족합니다,0.04
배송조회가 잘 돼서 편리했어요,0.05
이 제품 오래 찾았는데 드디어 찾았어요,0.05
덤으로 넣어주신 샘플 좋았어요,0.04
한번 써보고 마음에 들어서 다시 샀어요,0.05
포장이 고급스러워요,0.04
제품 설명이 상세해서 좋았어요,0.05
색이 너무 예뻐서 기분이 좋아요,0.04
처음 주문인데 빠르게 와서 놀랐어요,0.04
묶음 배송으로 한번에 받아서 좋았어요,0.04
통관 문제없이 잘 받았어요,0.05
이런 좋은 제품 만들어 주셔서 감사해요,0.03
앱으로 주문하기 편리해요,0.07
AS 문의했더니 친절하게 답변해 주셨어요,0.04
온라인 부업 관심 있으신 분 연락주세요,0.48
아르바이트 구인 좋은 조건입니다,0.46
투자로 수익 내는 방법 알려드려요,0.50
클릭 한 번으로 포인트 쌓기 가능해요,0.45
팔로우하면 추첨을 통해 선물 드려요,0.43
공짜로 제품 받는 방법 알려드립니다,0.47
광고비 받고 글 올립니다 솔직히 말할게요,0.40
이 채널 구독하면 할인 코드 드려요,0.42
카카오톡 오픈채팅방 참여하시면 혜택 있어요,0.44
친구 초대하면 포인트 드려요 같이 해요,0.42
리뷰 이벤트라 솔직한 후기 남기기 어렵네요,0.38
협찬 제품이지만 솔직하게 써드릴게요,0.37
광고임을 밝히고 소개해 드릴게요,0.40
이 제품 홍보해드리겠습니다 계속 올릴게요,0.45
매일 같은 시간에 광고 올리는 분이 있어요,0.40
여기는 홍보 게시판이 아니에요,0.37
제발 여기서 물건 팔지 마세요,0.38
공지사항 좀 읽어주세요 스팸 금지예요,0.36
이용 약관 위반입니다 삭제 요청합니다,0.40
관련 없는 글 게시하지 마세요,0.35
이 회사 사기꾼 맞아요 저도 당했어요,0.72
돈 받고 잠수 탄 악덕 업체입니다,0.73
소비자 기만으로 신고 접수했어요,0.74
이 제품 짝퉁이에요 진짜 조심하세요,0.70
허위 사실로 고소장 제출합니다,0.76
사기 피해 인증 올립니다 조심하세요,0.72
이 업체 영업정지 당해야 해요,0.68
환불 거부당하고 소비자원 신고했어요,0.73
직접 가서 따질 거예요 가만 안 있겠어요,0.72
이렇게 소비자를 우롱해도 되는 건가요,0.67
최악의 업체 블랙리스트 올립니다,0.70
이 회사 때문에 피해자가 한둘이 아니에요,0.70
집단 환불 요구 시작합니다,0.74
언론 고발 준비 중입니다 동참하세요,0.73
진짜 이런 회사 어떻게 아직 있어요,0.65
이거 다 거짓말이잖아요 사기 확정,0.73
믿었다가 완전 배신당한 느낌이에요,0.65
돈 날리고 제품도 쓰레기예요,0.68
이거 소비자 보호법 위반 아닌가요,0.70
형사 고소 준비 완료했습니다,0.77
너희 때문에 정말 죽고 싶어 미치겠어,0.94
다 없애버릴 거야 기다려,0.94
죽여버리겠다는 말이 입에서 나와,0.96
이것들 싹 다 쓸어버리고 싶다,0.93
혐오스럽고 역겨운 것들 꺼져,0.91
너네 집 찾아가서 확실히 할 거야,0.93
다 쫓아가서 혼내줄 거야 두고 봐,0.92
이 쓰레기들 물리적으로 응징할 거야,0.93
살아있으면 안 되는 것들이야,0.95
이 세상에서 지워버리고 싶어,0.93
혐오 그 자체인 것들 사라져라,0.90
이것들 때문에 진짜 미칠 것 같아 꺼져,0.91
폭력으로 해결해버리고 싶다,0.94
찾아가서 직접 해결하겠어 기다려,0.93
죽을 각오해라 진짜로,0.97
가만히 안 있을 거야 너희 다,0.92
이 혐오스러운 것들 존재 자체가 싫어,0.90
칼 들고 찾아가고 싶어 진짜,0.97
이 세상에서 없어져야 할 것들이야,0.90
다 죽어 없어져버려 이 쓰레기들,0.96
뒤져버려 진짜 이것들,0.95
혐오해서 죽이고 싶을 지경이야,0.96
이 것들 박살내버릴 거야,0.94
너희 신상 다 털어서 망신 줄 거야,0.92
찾아가서 물리적으로 막을 거야,0.93
강제로 끝내버리겠어 이 쓰레기들,0.94
너 퇴근하면 기다리고 있을 거야,0.93
집 주소 알아냈으니까 각오해,0.94
혐오스러워서 죽이고 싶다,0.97
이용약관 위반 게시글 신고해요,0.37
무분별한 홍보글 제재해 주세요,0.40
같은 업체 광고 하루에 열 번 올려요,0.43
이 게시판 광고 게시판 아니에요,0.36
관련 없는 게시물 올리지 마세요,0.35
여기도 도배하러 왔나요,0.40
중복 게시물 삭제 요청드립니다,0.38
이 사기 업체 피해자 모집합니다,0.72
소비자 기만 행위 즉각 중단하세요,0.70
이 회사 제대로 된 환불 하나도 없어요,0.68
영수증도 없이 환불 거부하네요,0.70
이렇게 대놓고 사기를 치네요,0.73
사기 제품 팔다 걸렸네요,0.72
고발장 접수 완료했습니다,0.76
피해 보상 받을 때까지 싸울 거예요,0.73
너희 때문에 진짜 미쳐버릴 것 같아 꺼져,0.92
이것들 다 박멸해버리고 싶어,0.93
죽어버렸으면 좋겠다 진심으로,0.95
이 혐오스러운 것들 지구에서 사라져라,0.91
살면 안 되는 것들이야 꺼져버려,0.93
찾아가서 응징하겠어 두고 봐라,0.93
